,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Seoul,Seoul,GPE,0.02249626,0.31086854,en,83.56666667,110416-0,1835848,P,37.56600000,126.97840000,ASIA,South Korea,EAS
Venezuela,Venezuela,GPE,0.02373208,0.26639648,en,28.60000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
Jeju,Jeju,GPE,0.01828113,0.31027612,en,28.00000000,4457682-1,1846266,P,33.50972000,126.52194000,ASIA,South Korea,EAS
Korea,Korea,GPE,0.12201765,0.41477913,en,27.32368421,4078029-6,1835841,A,36.50000000,127.75000000,ASIA,South Korea,EAS
South Chungcheong Province,South Chungcheong Province,GPE,-0.00653628,0.34042706,en,21.00000000,,1845759,P,36.80650000,127.15220000,ASIA,South Korea,EAS
China,China,GPE,-0.00522570,0.15471916,en,18.56666667,4009937-4,1814991,A,35.00000000,105.00000000,ASIA,China,EAS
Japan,Japan,GPE,0.05031085,0.29201058,en,18.00000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Europe,Europe,LOC,0.10544437,0.34038215,en,15.95833333,,0,,,,,,
France,France,GPE,-0.05507087,0.32447766,en,13.70000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
North Chungcheong Province,North Chungcheong Province,GPE,0.07203787,0.32984158,en,12.70000000,,1845033,P,36.97666000,127.92870000,ASIA,South Korea,EAS
Kumamoto,Kumamoto,GPE,0.03152056,0.30505952,en,11.20000000,4382233-2,1857892,T,32.42944000,130.99099000,ASIA,Japan,EAS
Canada,Canada,GPE,0.10153247,0.30911418,en,10.00000000,4029456-0,6251999,A,60.10867000,-113.64258000,NORTH-AMERICA,Canada,NWN
Jeju Island,Jeju Island,GPE,0.05083333,0.27483333,en,10.00000000,4457682-1,1846266,P,33.50972000,126.52194000,ASIA,South Korea,EAS
Earth,Earth,LOC,-0.04137340,0.49678276,en,9.53333333,,0,,,,,,
Gyeonggi Province,Gyeonggi Province,GPE,-0.07069795,0.31302647,en,9.23333333,,0,,,,,,
Daegu,Daegu,GPE,-0.00196232,0.21480900,en,9.10000000,4105738-7,1835329,P,35.87028000,128.59111000,ASIA,South Korea,EAS
the United States,the United States,GPE,0.02218345,0.34687604,en,8.35833333,,0,,,,,,
Incheon,Incheon,GPE,0.10889111,0.33986846,en,7.15000000,4394990-3,1843564,P,37.45646000,126.70515000,ASIA,South Korea,EAS
Yeongnam,Yeongnam,GPE,0.01904762,0.24662698,en,7.00000000,,12908612,L,35.18072000,128.96976000,ASIA,South Korea,EAS
U.S.,U.S.,GPE,-0.01265244,0.35965447,en,6.83333333,,0,,,,,,
USA,USA,GPE,-0.18588397,0.45652795,en,6.44166667,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Pohang,Pohang,GPE,0.05318813,0.22344539,en,6.40000000,4452214-9,1839071,P,36.02917000,129.36481000,ASIA,South Korea,EAS
Spain,Spain,GPE,-0.10858548,0.36118965,en,6.40000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Chongqing,Chongqing,GPE,-0.07552083,0.05208333,en,6.40000000,4315770-1,1814906,P,29.56026000,106.55771000,ASIA,China,EAS
UK,UK,GPE,0.08767429,0.26623254,en,5.57368421,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Miryang-si,Miryang-si,GPE,-0.08106061,0.51287879,en,5.50000000,1115656376,1841149,P,35.49333000,128.74889000,ASIA,South Korea,EAS
NC,NC,GPE,0.00000000,0.00000000,en,5.50000000,,0,,,,,,
Western Europe,Western Europe,LOC,0.03949495,0.17073232,en,5.50000000,,0,,,,,,
Jeollanam,Jeollanam,GPE,0.09383754,0.52116402,en,5.10000000,,1845788,A,34.75000000,127.00000000,ASIA,South Korea,EAS
Busan,Busan,GPE,0.10016883,0.41063907,en,5.05294118,4323346-6,1838524,P,35.10168000,129.03004000,ASIA,South Korea,EAS
Paris,Paris,GPE,0.02296456,0.26787354,en,4.67500000,4044660-8,2988507,P,48.85341000,2.34880000,EUROPE,France,WCE
Mongolia,Mongolia,GPE,-0.04347826,0.40579710,en,4.60000000,4040056-6,2029969,A,46.00000000,105.00000000,ASIA,Mongolia,ESB
Pyeongchang,Pyeongchang,GPE,0.11684783,0.45380435,en,4.60000000,,1838469,P,37.37028000,128.39306000,ASIA,South Korea,EAS
Philippines,Philippines,GPE,0.04248188,0.26132246,en,4.60000000,4045771-0,1694008,A,13.40882000,122.56155000,ASIA,Philippines,SEA
Jung-gu,Jung-gu,GPE,0.12409420,0.47554348,en,4.60000000,,8604981,A,37.47353000,126.62151000,ASIA,South Korea,EAS
Gwangju,Gwangju,GPE,0.05434783,0.10869565,en,4.60000000,4265172-4,1841811,P,35.15472000,126.91556000,ASIA,South Korea,EAS
Kumamoto Prefecture,Kumamoto Prefecture,GPE,0.02328042,0.06137566,en,4.50000000,,1857892,T,32.42944000,130.99099000,ASIA,Japan,EAS
Peru,Peru,GPE,-0.02992424,0.17613636,en,4.40000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Kyushu,Kyushu,GPE,0.02380952,0.06277056,en,4.40000000,,1857891,L,32.33546000,130.85082000,ASIA,Japan,EAS
the Korean Peninsula,the Korean Peninsula,LOC,0.05719697,0.31486742,en,4.40000000,,7140636,S,46.39111000,-87.39444000,NORTH-AMERICA,United States,ENA
Phoenix,Phoenix,GPE,0.03331020,0.17210271,en,4.36666667,4119970-4,5308655,P,33.44838000,-112.07404000,CENTRAL-AMERICA,United States,NCA
California,California,GPE,-0.37420719,0.55602537,en,3.94166667,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
the Nakdong River,the Nakdong River,LOC,0.00000000,0.00000000,en,3.70000000,,0,,,,,,
Miryang Dam,Miryang Dam,GPE,0.00000000,0.00000000,en,3.70000000,,0,,,,,,
Seongdong-gu,Seongdong-gu,GPE,0.11711712,0.17567568,en,3.70000000,,8349528,A,37.54784000,127.02461000,ASIA,South Korea,EAS
La Guaira,La Guaira,GPE,0.04954955,0.14414414,en,3.70000000,4488404-7,3637721,P,10.60156000,-66.93293000,SOUTH-AMERICA,Venezuela,NSA
Paju,Paju,GPE,-0.08783784,0.27027027,en,3.70000000,4755459-9,1839430,A,37.75952000,126.77772000,ASIA,South Korea,EAS
Gangwon,Gangwon,GPE,-0.04729730,0.37387387,en,3.70000000,4329774-2,1843125,A,37.75000000,128.25000000,ASIA,South Korea,EAS
Yeongyang,Yeongyang,GPE,-0.10810811,0.16216216,en,3.70000000,,8419823,A,36.69592000,129.14196000,ASIA,South Korea,EAS
Gyeongbuk,Gyeongbuk,LOC,-0.06581582,0.13788789,en,3.70000000,4823416-3,1841597,A,36.60000000,128.86667000,ASIA,South Korea,EAS
Unmun Dam,Unmun Dam,LOC,0.12387387,0.61936937,en,3.70000000,,1925945,S,35.72139000,128.91722000,ASIA,South Korea,EAS
Chungcheong,Chungcheong,GPE,-0.01097169,0.42422780,en,3.70000000,,1845033,P,36.97666000,127.92870000,ASIA,South Korea,EAS
Miami,Miami,GPE,0.07575758,0.16363636,en,3.66666667,4039108-5,4164138,P,25.77427000,-80.19366000,NORTH-AMERICA,United States,ENA
Jeonnam,Jeonnam,GPE,-0.04761905,0.13095238,en,3.50000000,,1845788,A,34.75000000,127.00000000,ASIA,South Korea,EAS
Yecheon,Yecheon,GPE,0.00252525,0.25337938,en,3.40000000,,1832798,P,36.65740000,128.45514000,ASIA,South Korea,EAS
Seocho-gu,Seocho-gu,GPE,0.01102941,0.27450980,en,3.40000000,,8349535,A,37.49447000,127.01088000,ASIA,South Korea,EAS
El Niño,El Niño,GPE,0.17129849,0.59438782,en,3.15357143,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
New York,New York,GPE,0.14966914,0.52759328,en,3.00000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Bucheon City,Bucheon City,GPE,0.26785714,0.51785714,en,2.80000000,,1838716,P,37.49889000,126.78306000,ASIA,South Korea,EAS
Dangjin City,Dangjin City,GPE,0.11904762,0.23809524,en,2.80000000,,6399020,P,37.02613000,127.43997000,ASIA,South Korea,EAS
Daegu City Daegu City,Daegu City Daegu City,GPE,0.01530612,0.24234694,en,2.80000000,,10128600,S,35.87105000,128.59802000,ASIA,South Korea,EAS
Daegu City,Daegu City,GPE,-0.05357143,0.30059524,en,2.80000000,,10128600,S,35.87105000,128.59802000,ASIA,South Korea,EAS
Gyeongsangnam,Gyeongsangnam,GPE,-0.04464286,0.35714286,en,2.80000000,,1902028,A,35.25000000,128.25000000,ASIA,South Korea,EAS
Mars,Mars,LOC,0.32738095,0.62351190,en,2.80000000,,6621751,T,-76.66667000,161.95000000,POLAR,Antarctica,EAN
Gujwa-eup,Gujwa-eup,GPE,-0.02232143,0.06696429,en,2.80000000,,1842370,A,33.50250000,126.79444000,ASIA,South Korea,EAS
